% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
2603 0 +3.708478096e+01 -9.629152190e+02 -9.629152190e+02 +6.9107e-01 -1.1833e+00 +4.3452e-01 +1.0754e+00 +3.0699e+00 -7.4798e-01 -2.9013e-02 +2.6460e+00 +1.2136e+00 +5.1797e-01
2902 0 +3.614683039e+01 -9.638531696e+02 -9.638531696e+02 +6.2299e-01 -1.4187e+00 +1.2783e-01 +1.3109e+00 +2.0482e+00 -6.0755e-01 +3.2332e-01 +2.8280e+00 +1.5987e+00 +1.2732e+00
3003 0 +3.327213326e+01 -9.667278667e+02 -9.667278667e+02 +5.5072e-01 -1.6865e+00 -1.7825e-02 +1.8607e+00 +2.1734e+00 -6.0802e-01 +2.1772e-01 +2.5954e+00 +1.4612e+00 +5.9357e-01
3101 0 +3.136728796e+01 -9.686327120e+02 -9.686327120e+02 +5.0480e-01 -1.8005e+00 -4.1866e-02 +2.0111e+00 +2.2448e+00 -4.7471e-01 +2.2373e-01 +2.6861e+00 +1.6232e+00 +6.2695e-01
3201 0 +2.925530823e+01 -9.707446918e+02 -9.707446918e+02 +7.3626e-01 -1.5052e+00 +2.7668e-01 +1.6125e+00 +2.4373e+00 -7.2690e-01 +4.7206e-01 +3.4395e+00 +1.9518e+00 +1.7414e+00
3203 0 +2.799190916e+01 -9.720080908e+02 -9.720080908e+02 +5.0940e-01 -7.3260e-01 -5.1686e-02 +1.2291e+00 +2.9500e+00 -8.4325e-01 -6.2310e-02 +2.2371e+00 +1.5841e+00 +6.4078e-01
3401 0 +2.572376827e+01 -9.742762317e+02 -9.742762317e+02 +3.3181e-01 -3.8967e-01 -2.2176e-01 +1.3682e+00 +3.5988e+00 -8.4137e-01 -4.2933e-01 +1.8143e+00 +1.7694e+00 +4.7334e-01
3601 0 +2.415791808e+01 -9.758420819e+02 -9.758420819e+02 +6.0205e-01 -7.3000e-01 +2.4930e-01 +1.8014e+00 +2.6862e+00 +8.8329e-02 +6.2780e-01 +2.1288e+00 +1.5893e+00 +4.9283e-01
3702 0 +2.092821769e+01 -9.790717823e+02 -9.790717823e+02 +2.9343e-01 -4.2068e-01 +3.4118e-01 +1.5958e+00 +3.1506e+00 -3.0483e-01 +4.4118e-02 +2.3261e+00 +1.8248e+00 +5.5577e-01
3801 0 +1.923278180e+01 -9.807672182e+02 -9.807672182e+02 +2.4077e-01 -2.9020e-01 +4.0574e-01 +1.7313e+00 +3.5168e+00 -1.9062e-01 -9.5547e-02 +2.2604e+00 +1.9553e+00 +4.6440e-01
3802 0 +1.836638843e+01 -9.816336116e+02 -9.816336116e+02 +4.2613e-01 -6.1387e-01 -9.8338e-02 +1.6109e+00 +3.0528e+00 -1.1669e+00 -1.0610e-01 +2.4682e+00 +2.2504e+00 +1.1415e+00
3901 0 +1.699611067e+01 -9.830038893e+02 -9.830038893e+02 +4.9441e-01 -5.4602e-01 -1.5449e-01 +1.6587e+00 +3.3426e+00 -1.6021e+00 -2.0116e-01 +2.6208e+00 +2.5527e+00 +1.3806e+00
4101 0 +1.531098953e+01 -9.846890105e+02 -9.846890105e+02 +5.1421e-01 -6.6508e-01 +1.2450e-01 +1.9448e+00 +3.1413e+00 -7.4916e-01 +3.2131e-02 +2.5276e+00 +2.1088e+00 +6.3692e-01
4201 0 +1.307025840e+01 -9.869297416e+02 -9.869297416e+02 +7.4238e-01 -6.0800e-01 +6.0096e-01 +2.2609e+00 +3.2859e+00 -5.7335e-01 -1.8394e-01 +2.7301e+00 +2.1776e+00 +5.3562e-01
