% f evaluations | g evaluations | best noise-free fitness - Fopt (-9.210000000000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1501 0 +1.136942763e+01 +7.807942763e+01 +7.807942763e+01 +5.0000e+00 -4.9060e+00 -5.0000e+00 +4.8167e+00 -4.9828e+00
1701 0 +1.047044316e+01 +7.718044316e+01 +7.718044316e+01 +4.9866e+00 -4.9722e+00 -4.9030e+00 +4.9773e+00 -5.0000e+00
1802 0 +1.015865866e+01 +7.686865866e+01 +7.686865866e+01 +3.7823e+00 -4.9064e+00 -4.9199e+00 +4.8720e+00 -4.9763e+00
1902 0 +9.926199800e+00 +7.663619980e+01 +7.663619980e+01 +2.8328e+00 -5.0000e+00 -4.6149e+00 +4.8443e+00 -5.0000e+00
2001 0 +9.185355718e+00 +7.589535572e+01 +7.589535572e+01 +2.3117e+00 -4.9146e+00 -4.4555e+00 +5.0000e+00 -5.0000e+00
2101 0 +8.873488516e+00 +7.558348852e+01 +7.558348852e+01 +2.1087e+00 -5.0000e+00 -4.4473e+00 +4.9970e+00 -5.0000e+00
2701 0 +8.371016070e+00 +7.508101607e+01 +7.508101607e+01 +1.1459e+00 -4.7062e+00 -5.0000e+00 +5.0000e+00 -4.8297e+00
2703 0 +7.246644531e+00 +7.395664453e+01 +7.395664453e+01 +2.2466e+00 -5.0000e+00 -5.0000e+00 +5.0000e+00 -5.0000e+00
2801 0 +6.902849565e+00 +7.361284956e+01 +7.361284956e+01 +9.7062e-01 -4.9351e+00 -4.9929e+00 +4.8587e+00 -5.0000e+00
2902 0 +6.261493391e+00 +7.297149339e+01 +7.297149339e+01 -1.9227e+00 -5.0000e+00 -4.0022e+00 +5.0000e+00 -4.9971e+00
3002 0 +5.208184397e+00 +7.191818440e+01 +7.191818440e+01 -1.1536e+00 -5.0000e+00 -4.9092e+00 +4.9639e+00 -4.9128e+00
3101 0 +2.018655707e+00 +6.872865571e+01 +6.872865571e+01 -4.2371e+00 -5.0000e+00 -4.8751e+00 +4.9226e+00 -4.9575e+00
3501 0 +1.731483284e+00 +6.844148328e+01 +6.844148328e+01 -4.9649e+00 -4.8025e+00 -4.8354e+00 +4.8938e+00 -4.9773e+00
3701 0 +1.371161352e+00 +6.808116135e+01 +6.808116135e+01 -5.0000e+00 -4.9522e+00 -4.9144e+00 +5.0000e+00 -4.8984e+00
4001 0 +6.675524954e-01 +6.737755250e+01 +6.737755250e+01 -4.9981e+00 -5.0000e+00 -4.9747e+00 +4.8958e+00 -5.0000e+00
4102 0 +4.176290486e-01 +6.712762905e+01 +6.712762905e+01 -4.9730e+00 -4.8544e+00 -5.0000e+00 +4.9766e+00 -5.0000e+00
4201 0 +0.000000000e+00 +6.671000000e+01 +6.671000000e+01 -5.0000e+00 -5.0000e+00 -5.0000e+00 +5.0000e+00 -5.0000e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (9.416700000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.090988027e+02 +1.050768803e+03 +1.050768803e+03 -4.3065e+00 -1.3623e-01 +4.7245e-01 -2.6970e+00 -7.8448e-01
5 0 +9.206923381e+01 +1.033739234e+03 +1.033739234e+03 -4.6456e+00 -4.2631e+00 +4.0364e+00 +4.5854e+00 +3.5026e+00
6 0 +8.711010978e+01 +1.028780110e+03 +1.028780110e+03 -4.8234e+00 -9.3220e-01 -3.8628e+00 +4.1997e+00 -2.8273e-01
16 0 +6.442806924e+01 +1.006098069e+03 +1.006098069e+03 +2.8890e+00 -4.4226e-01 -6.4458e-01 +7.1909e-01 -4.3489e+00
27 0 +5.917227076e+01 +1.000842271e+03 +1.000842271e+03 -2.9873e+00 -7.2516e-01 +4.4726e+00 +1.2601e+00 -2.3141e+00
32 0 +5.635845834e+01 +9.980284583e+02 +9.980284583e+02 +1.8084e+00 -6.4892e-01 +2.9646e+00 +2.3417e-01 -4.1424e+00
64 0 +5.224781669e+01 +9.939178167e+02 +9.939178167e+02 -4.8931e+00 -3.4227e+00 +2.7528e+00 +3.8433e+00 -1.4275e+00
71 0 +4.989823329e+01 +9.915682333e+02 +9.915682333e+02 +6.0220e-01 -3.7268e+00 +4.7297e+00 +4.5001e+00 -1.1634e+00
85 0 +4.658114788e+01 +9.882511479e+02 +9.882511479e+02 +3.6227e+00 -2.5726e+00 -3.8405e+00 +4.3312e+00 -4.8075e+00
101 0 +3.954293730e+01 +9.812129373e+02 +9.812129373e+02 +5.0000e+00 -4.4610e+00 -3.9716e+00 +4.9991e+00 -4.9791e+00
104 0 +3.218851466e+01 +9.738585147e+02 +9.738585147e+02 +1.2319e+00 -4.9371e+00 +2.1556e+00 +4.9131e+00 -3.3639e+00
201 0 +2.116364690e+01 +9.628336469e+02 +9.628336469e+02 +1.0408e+00 -5.0000e+00 +4.3254e+00 +5.0000e+00 -3.7011e+00
301 0 +1.616989266e+01 +9.578398927e+02 +9.578398927e+02 +1.0257e+00 -4.9430e+00 +5.0000e+00 +4.9690e+00 -4.0131e+00
401 0 +6.552815508e+00 +9.482228155e+02 +9.482228155e+02 +1.1993e+00 -5.0000e+00 +4.9713e+00 +4.9550e+00 -4.9990e+00
601 0 +5.565623996e+00 +9.472356240e+02 +9.472356240e+02 +5.6562e-01 -5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00
801 0 +4.119250436e+00 +9.457892504e+02 +9.457892504e+02 -1.0381e+00 -5.0000e+00 +5.0000e+00 +5.0000e+00 -4.9843e+00
1001 0 +3.191768326e+00 +9.448617683e+02 +9.448617683e+02 -1.8887e+00 -4.9548e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00
1101 0 +2.505623131e+00 +9.441756231e+02 +9.441756231e+02 -2.6457e+00 -4.9694e+00 +4.9694e+00 +5.0000e+00 -5.0000e+00
1401 0 +1.580044171e+00 +9.432500442e+02 +9.432500442e+02 -4.3737e+00 -4.9668e+00 +5.0000e+00 +4.9792e+00 -4.9222e+00
1501 0 +5.123522403e-01 +9.421823522e+02 +9.421823522e+02 -4.8998e+00 -4.9477e+00 +5.0000e+00 +5.0000e+00 -4.9681e+00
1901 0 +3.611209217e-01 +9.420311209e+02 +9.420311209e+02 -4.9796e+00 -5.0000e+00 +4.8922e+00 +5.0000e+00 -5.0000e+00
2001 0 +1.134743245e-01 +9.417834743e+02 +9.417834743e+02 -5.0000e+00 -5.0000e+00 +5.0000e+00 +5.0000e+00 -4.9887e+00
2604 0 +1.035830717e-01 +9.417735831e+02 +9.417735831e+02 -5.0000e+00 -4.9418e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00
2803 0 +2.217289671e-02 +9.416921729e+02 +9.416921729e+02 -4.9778e+00 -5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00
4801 0 +0.000000000e+00 +9.416700000e+02 +9.416700000e+02 -5.0000e+00 -5.0000e+00 +5.0000e+00 +5.0000e+00 -5.0000e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (-3.745000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +9.461302016e+01 +5.716302016e+01 +5.716302016e+01 +4.7473e+00 -3.5972e+00 +4.6625e+00 -2.4004e+00 +1.3386e+00
10 0 +5.686516015e+01 +1.941516015e+01 +1.941516015e+01 +1.8582e+00 +4.7069e+00 -1.9380e+00 +1.4158e-01 -4.7651e+00
16 0 +4.389445224e+01 +6.444452245e+00 +6.444452245e+00 -7.7555e-01 +2.6950e+00 +3.3235e+00 -3.0656e+00 -3.2159e+00
72 0 +3.492073817e+01 -2.529261835e+00 -2.529261835e+00 +3.5664e+00 +1.5999e+00 +4.7004e+00 -6.9083e-01 -4.7739e+00
101 0 +3.166450580e+01 -5.785494204e+00 -5.785494204e+00 +3.5801e+00 +1.6827e+00 +5.0000e+00 -9.5811e-01 -4.8384e+00
102 0 +2.824512788e+01 -9.204872124e+00 -9.204872124e+00 -4.1733e+00 +5.0000e+00 +5.0000e+00 -4.9787e+00 -3.1048e+00
201 0 +2.663115897e+01 -1.081884103e+01 -1.081884103e+01 -5.0000e+00 +5.0000e+00 +4.9945e+00 -4.9053e+00 -3.3919e+00
302 0 +1.336128550e+01 -2.408871450e+01 -2.408871450e+01 +2.2909e+00 -5.2894e-01 +5.0000e+00 -4.9422e+00 -4.9505e+00
501 0 +1.149095035e+01 -2.595904965e+01 -2.595904965e+01 +3.9905e+00 -3.1454e-01 +5.0000e+00 -5.0000e+00 -4.8969e+00
